               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10325,            0.060141,                   0,           0.0012479,                0.25,          0.00063485,          6.3485e-05,            0.092297,            0.048135,                   0,             0.00024,             0.00024,             0.09784
                   1,            0.087532,            0.047052,                   0,           0.0025771,                0.75,           0.0024335,          0.00065104,            0.072157,            0.039675,                   0,             0.00049,             0.00049,             0.09559
                   2,            0.080481,            0.042883,                   0,           0.0074628,                0.75,           0.0061152,          0.00089693,            0.057774,            0.035251,                   0,          0.00073999,          0.00073999,             0.09334
                   3,            0.071636,            0.041934,                   0,            0.011352,                0.25,           0.0095344,           0.0026644,            0.052031,            0.031137,                   0,          0.00098998,          0.00098998,             0.09109
                   4,            0.065458,            0.040023,                   0,            0.033902,                 0.5,            0.027362,           0.0069458,             0.05175,            0.027203,                   0,             0.00124,             0.00124,             0.08884
                   5,            0.056732,            0.032084,                   0,             0.11031,                 0.5,             0.13923,            0.036664,            0.042283,            0.026205,                   0,           0.0014899,           0.0014899,             0.08659
                   6,            0.056023,            0.033935,                   0,             0.46243,                0.25,             0.27315,             0.10978,            0.041408,            0.023452,                   0,           0.0017399,           0.0017399,             0.08434
                   7,            0.051062,            0.030975,                   0,             0.63648,                 0.5,             0.39727,              0.1125,            0.046165,            0.022097,                   0,           0.0019898,           0.0019898,             0.08209
                   8,            0.050483,            0.028231,                   0,              0.3205,             0.47594,             0.20199,            0.081132,            0.038378,            0.020862,                   0,           0.0022397,           0.0022397,             0.07984
                   9,            0.052319,            0.030834,                   0,             0.30352,             0.44411,             0.21264,            0.052611,            0.034985,            0.019592,                   0,           0.0024896,           0.0024896,             0.07759
                  10,            0.049505,            0.030934,                   0,             0.46831,                0.25,             0.22586,             0.14965,            0.035257,            0.018623,                   0,           0.0027394,           0.0027394,            0.075339
                  11,            0.047488,            0.027294,                   0,             0.49133,             0.48699,             0.45387,             0.30705,            0.038356,            0.016558,                   0,           0.0029892,           0.0029892,            0.073089
                  12,              0.0451,            0.021646,                   0,                   1,             0.45539,             0.66018,             0.28528,            0.035772,            0.016066,                   0,            0.003239,            0.003239,            0.070839
                  13,            0.041525,            0.026145,                   0,             0.93513,                 0.5,             0.65526,             0.22249,            0.035952,             0.01494,                   0,           0.0034887,           0.0034887,            0.068589
                  14,            0.042115,            0.020214,                   0,             0.32723,                 0.5,             0.31694,             0.12273,            0.039109,            0.014169,                   0,           0.0037384,           0.0037384,            0.066338
                  15,            0.042198,            0.022356,                   0,                   1,             0.49352,             0.65125,             0.36287,            0.031519,            0.014111,                   0,            0.003988,            0.003988,            0.064088
                  16,            0.044017,            0.021828,                   0,             0.70881,                0.75,             0.62542,             0.17036,            0.043115,            0.013172,                   0,           0.0042376,           0.0042376,            0.061838
                  17,            0.038958,            0.021447,                   0,             0.49663,                0.75,             0.55382,             0.16393,            0.033507,            0.012369,                   0,           0.0044871,           0.0044871,            0.059587
                  18,            0.048648,            0.020671,                   0,             0.98507,                 0.5,             0.71091,             0.32562,             0.04138,            0.011931,                   0,           0.0047366,           0.0047366,            0.057337
                  19,            0.046979,            0.021127,                   0,             0.59731,                0.75,               0.645,             0.45951,            0.026998,            0.012569,                   0,            0.004986,            0.004986,            0.055086
                  20,            0.043286,            0.019154,                   0,             0.29899,                0.75,              0.3225,            0.097408,            0.052702,            0.010478,                   0,           0.0052353,           0.0052353,            0.052835
                  21,            0.049647,            0.019198,                   0,             0.97732,                 0.5,             0.64885,             0.33597,            0.034964,            0.012459,                   0,           0.0054846,           0.0054846,            0.050585
                  22,            0.036114,            0.019661,                   0,             0.74945,             0.74836,                0.67,             0.29803,             0.04518,            0.010103,                   0,           0.0057338,           0.0057338,            0.048334
                  23,            0.042036,            0.017799,                   0,             0.98874,                 0.5,             0.62446,             0.30742,            0.038297,             0.01038,                   0,            0.005983,            0.005983,            0.046083
                  24,            0.045386,            0.017758,                   0,              0.6605,             0.49075,              0.5253,              0.2379,            0.041104,            0.010236,                   0,            0.006232,            0.006232,            0.043832
                  25,            0.038538,            0.017053,                   0,             0.74852,             0.74555,             0.73012,             0.32279,            0.042937,           0.0096991,                   0,            0.006481,            0.006481,            0.041581
                  26,             0.04119,            0.017181,                   0,             0.49992,             0.49988,             0.48848,             0.34967,            0.041852,           0.0094937,                   0,           0.0067299,           0.0067299,             0.03933
